service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:DayType:1000,1,0,0,0,1,0,0,20250816,20251019
ATB:DayType:1003,0,0,0,0,1,0,0,20250524,20251023
ATB:DayType:1005,1,0,0,0,1,0,0,20250524,20251019
ATB:DayType:1006,0,1,0,1,0,0,0,20250620,20250818
ATB:DayType:1007,1,1,1,0,0,0,0,20250814,20251019
ATB:DayType:1008,1,0,1,0,0,0,0,20250814,20251019
ATB:DayType:1009,0,0,1,0,0,0,0,20250522,20251021
ATB:DayType:1010,0,0,0,0,1,0,0,20250524,20250821
ATB:DayType:1011,1,0,0,1,1,0,0,20250816,20251019
ATB:DayType:1012,0,1,1,1,0,0,0,20250523,20251020
ATB:DayType:1013,1,1,1,0,1,0,0,20250524,20250622
ATB:DayType:1014,0,0,0,0,0,1,0,20250525,20251024
ATB:DayType:1015,1,0,1,1,0,0,0,20250523,20251019
ATB:DayType:1016,1,1,1,1,1,0,0,20250621,20251019
ATB:DayType:1017,0,1,1,0,0,0,0,20250522,20251020
ATB:DayType:1018,1,1,0,0,1,0,0,20250524,20250622
ATB:DayType:1019,0,1,1,1,1,0,0,20250809,20251020
ATB:DayType:1020,1,0,0,1,0,0,0,20250523,20250622
ATB:DayType:1021,0,0,0,0,0,1,0,20250601,20250822
ATB:DayType:1023,0,1,1,1,0,0,0,20250815,20251020
ATB:DayType:1024,1,0,1,1,0,0,0,20250523,20250622
ATB:DayType:1025,0,1,0,1,1,0,0,20250524,20251020
ATB:DayType:1026,0,0,0,0,1,0,0,20250531,20250821
ATB:DayType:1027,1,1,1,1,1,0,0,20250530,20251012
ATB:DayType:1028,0,1,1,0,1,0,0,20250816,20251020
ATB:DayType:1031,0,0,0,0,0,0,1,20250526,20251025
ATB:DayType:1032,0,0,0,0,0,1,0,20250817,20251024
ATB:DayType:1035,0,0,0,0,0,1,0,20250525,20251024
ATB:DayType:1036,0,0,0,1,1,0,0,20250531,20251022
ATB:DayType:1037,1,0,1,0,1,0,0,20250816,20251019
ATB:DayType:1038,1,1,0,1,1,0,0,20250524,20251019
