from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:71209,ATB:ServiceJourney:2_241025073160664_6,NSR:Quay:71209,ATB:ServiceJourney:40_240516085571740_1,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658432_6134,NSR:Quay:72946,ATB:ServiceJourney:78_250131110656316_6054,1
NSR:Quay:72888,ATB:ServiceJourney:71_250131110657898_6013,NSR:Quay:72888,ATB:ServiceJourney:82_241107118795832_6015,1
NSR:Quay:74648,ATB:ServiceJourney:311_241021121642471_7004,NSR:Quay:74648,ATB:ServiceJourney:310_241021121639193_7004,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167290_72,NSR:Quay:72946,ATB:ServiceJourney:46_250113084171459_32,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577281_7027,NSR:Quay:72888,ATB:ServiceJourney:82_241107118795605_7033,1
NSR:Quay:75172,ATB:ServiceJourney:76_250113084170594_7,NSR:Quay:75172,ATB:ServiceJourney:75_250113084170699_29,1
NSR:Quay:77344,ATB:ServiceJourney:7702_241205091487944_9,NSR:Quay:77344,ATB:ServiceJourney:7712_241205091487998_9,1
NSR:Quay:72106,ATB:ServiceJourney:5471_250212077047361_6,NSR:Quay:72106,ATB:ServiceJourney:5471_241205091488150_8,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577175_6029,NSR:Quay:72888,ATB:ServiceJourney:82_241107118795917_6031,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577125_35,NSR:Quay:72888,ATB:ServiceJourney:82_241107118768574_50,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085380649_7031,NSR:Quay:72888,ATB:ServiceJourney:82_250203085199616_7031,1
NSR:Quay:71412,ATB:ServiceJourney:311_241205091488781_7008,NSR:Quay:71412,ATB:ServiceJourney:340_241021121639263_7004,1
NSR:Quay:73032,ATB:ServiceJourney:3_250129115075429_7046,NSR:Quay:73032,ATB:ServiceJourney:42_250303120810149_7045,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577560_69,NSR:Quay:74982,ATB:ServiceJourney:44_250131110663538_12,1
NSR:Quay:72888,ATB:ServiceJourney:71_250131110657954_6065,NSR:Quay:72888,ATB:ServiceJourney:82_241107118798084_6067,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658065_7077,NSR:Quay:74982,ATB:ServiceJourney:44_250131110663487_7030,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085380608_7027,NSR:Quay:72888,ATB:ServiceJourney:82_250203085188842_7028,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577126_39,NSR:Quay:72888,ATB:ServiceJourney:82_241107118768592_54,1
NSR:Quay:74804,ATB:ServiceJourney:460_250212077045662_6001,NSR:Quay:74804,ATB:ServiceJourney:310_241021121639226_6005,1
NSR:Quay:73666,ATB:ServiceJourney:83_240516085572254_5,NSR:Quay:73666,ATB:ServiceJourney:72_250228142143232_6,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658268_14,NSR:Quay:72946,ATB:ServiceJourney:77_241111133696993_8,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167283_58,NSR:Quay:72946,ATB:ServiceJourney:77_250113084169196_16,1
NSR:Quay:71637,ATB:ServiceJourney:452_241205091488668_17,NSR:Quay:71637,ATB:ServiceJourney:5522_241205091488680_14,1
NSR:Quay:74037,ATB:ServiceJourney:77_241111133697239_30,NSR:Quay:74037,ATB:ServiceJourney:75_241111133507988_29,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577682_140,NSR:Quay:72946,ATB:ServiceJourney:77_241111133699230_26,1
NSR:Quay:80432,ATB:ServiceJourney:612_241205091486027_5,NSR:Quay:80432,ATB:ServiceJourney:7329_241205091488366_3,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658061_7069,NSR:Quay:74982,ATB:ServiceJourney:44_250131110663497_7026,1
NSR:Quay:72946,ATB:ServiceJourney:2_241025073162169_7048,NSR:Quay:72946,ATB:ServiceJourney:46_240516085574511_7012,1
NSR:Quay:74804,ATB:ServiceJourney:460_250212077045666_1,NSR:Quay:74804,ATB:ServiceJourney:310_241205091485527_15,1
NSR:Quay:75658,ATB:ServiceJourney:1_250121128990469_7027,NSR:Quay:75658,ATB:ServiceJourney:79_250117151694088_7008,1
NSR:Quay:80145,ATB:ServiceJourney:455_241205091488532_2,NSR:Quay:80145,ATB:ServiceJourney:7201_241205091486854_2,1
NSR:Quay:73032,ATB:ServiceJourney:3_250113084171251_7010,NSR:Quay:73032,ATB:ServiceJourney:42_250113084169057_7001,1
NSR:Quay:75658,ATB:ServiceJourney:1_240516085577377_231,NSR:Quay:75658,ATB:ServiceJourney:79_241113103920618_90,1
NSR:Quay:75658,ATB:ServiceJourney:1_240516085577450_7051,NSR:Quay:75658,ATB:ServiceJourney:79_241113103922549_7022,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577548_6131,NSR:Quay:74982,ATB:ServiceJourney:44_241113104124389_6038,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167303_38,NSR:Quay:72946,ATB:ServiceJourney:46_250113084171461_18,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577682_140,NSR:Quay:71982,ATB:ServiceJourney:73_240516085572775_26,1
NSR:Quay:75172,ATB:ServiceJourney:75_250113084170673_41,NSR:Quay:75172,ATB:ServiceJourney:76_250113084170588_8,1
NSR:Quay:74037,ATB:ServiceJourney:76_250113084170588_8,NSR:Quay:74037,ATB:ServiceJourney:75_250113084170674_45,1
NSR:Quay:72946,ATB:ServiceJourney:1_250113084167328_92,NSR:Quay:72946,ATB:ServiceJourney:46_250113084171464_40,1
NSR:Quay:77903,ATB:ServiceJourney:640_241205091488248_9,NSR:Quay:77903,ATB:ServiceJourney:7412_241205091486693_1,1
NSR:Quay:72946,ATB:ServiceJourney:2_250131110662414_7084,NSR:Quay:72946,ATB:ServiceJourney:46_240516085574517_7024,1
NSR:Quay:71982,ATB:ServiceJourney:1_250131110658411_234,NSR:Quay:71982,ATB:ServiceJourney:73_240516085572785_42,1
NSR:Quay:77711,ATB:ServiceJourney:7315_241205091488092_2,NSR:Quay:78378,ATB:ServiceJourney:7306_241205091486635_2,1
NSR:Quay:77729,ATB:ServiceJourney:7416_241205091486704_3,NSR:Quay:77729,ATB:ServiceJourney:7411_241205091486685_5,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658330_112,NSR:Quay:72946,ATB:ServiceJourney:78_250131110656298_44,1
NSR:Quay:72946,ATB:ServiceJourney:2_250131110662558_6076,NSR:Quay:72946,ATB:ServiceJourney:77_241111133697340_6008,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577270_6045,NSR:Quay:72888,ATB:ServiceJourney:82_241107118796061_6047,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577808_232,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572915_94,1
NSR:Quay:73713,ATB:ServiceJourney:5004_241205091488209_16,NSR:Quay:73713,ATB:ServiceJourney:5004_241205091488198_20,1
NSR:Quay:78588,ATB:ServiceJourney:7302_250212077045856_15,NSR:Quay:78588,ATB:ServiceJourney:7302_250522181785043_17,
NSR:Quay:75658,ATB:ServiceJourney:1_250131110657997_6017,NSR:Quay:75658,ATB:ServiceJourney:79_250131110663299_6008,1
NSR:Quay:74037,ATB:ServiceJourney:75_250113084170654_4,NSR:Quay:74037,ATB:ServiceJourney:76_250113084170616_1,1
NSR:Quay:75658,ATB:ServiceJourney:1_240516085577395_6017,NSR:Quay:75658,ATB:ServiceJourney:79_241113103922005_6008,1
NSR:Quay:71862,ATB:ServiceJourney:83_240516085572255_7,NSR:Quay:71862,ATB:ServiceJourney:214_240516085580076_1,1
NSR:Quay:71209,ATB:ServiceJourney:2_250131110662367_7012,NSR:Quay:71209,ATB:ServiceJourney:40_240516085575355_7003,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658370_6078,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572934_6034,1
NSR:Quay:75658,ATB:ServiceJourney:1_250121117575775_6095,NSR:Quay:75658,ATB:ServiceJourney:14_250203103606604_6069,1
NSR:Quay:71209,ATB:ServiceJourney:2_250131110662361_6180,NSR:Quay:71209,ATB:ServiceJourney:40_240516085579736_6107,1
NSR:Quay:75658,ATB:ServiceJourney:1_250113084170836_6097,NSR:Quay:75658,ATB:ServiceJourney:79_250117151694031_6038,1
NSR:Quay:78972,ATB:ServiceJourney:7419_250212077045600_2,NSR:Quay:78972,ATB:ServiceJourney:7405_241205091487781_3,1
